                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7142,                 2.6205,                 1.1314,                0.03278,                0.40399,                0.11131,                0.04348,                    nan,                    nan,                    nan,             0.00023562,             0.00023562,             0.00023562
                      2,                 1.5263,                 1.6189,                 1.0446,                0.60501,                0.19823,                0.18787,                0.08896,                    nan,                    nan,                    nan,             0.00031733,             0.00031733,             0.00031733
                      3,                 1.4523,                 1.4363,                 1.0167,                0.48836,                0.24104,                0.25328,                0.13167,                    nan,                    nan,                    nan,             0.00024195,             0.00024195,             0.00024195
