                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0929,                0.59652,                0.90613,                 0.8414,                0.80571,                0.83231,                0.49516,                 1.4312,                 1.1801,                 1.7406,             0.00024747,             0.00024747,             0.00024747
                     36,                 1.0727,                0.58764,                0.89807,                 0.8603,                0.75623,                0.81978,                0.48082,                 1.3749,                 1.1446,                 1.6494,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.0644,                0.58061,                0.89492,                0.89894,                0.73924,                0.81694,                0.49767,                 1.3695,                 1.0928,                 1.6909,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.0783,                0.58359,                0.89434,                0.89968,                0.77064,                 0.8297,                0.50954,                 1.4064,                 1.1189,                 1.6524,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.0703,                0.58018,                0.89226,                0.84848,                0.76972,                0.84469,                0.49757,                 1.3889,                 1.1003,                 1.6362,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.0679,                0.57393,                0.89054,                0.88488,                0.75494,                0.82894,                0.50174,                 1.3854,                 1.1407,                 1.6694,             0.00017679,             0.00017679,             0.00017679
                     41,                  1.033,                0.54078,                0.88489,                0.85901,                0.78592,                0.83498,                0.51114,                 1.3401,                 1.1042,                 1.6375,             0.00016265,             0.00016265,             0.00016265
                     42,                 1.0226,                0.53458,                0.88134,                 0.8595,                0.82506,                0.84824,                0.49693,                  1.373,                 1.0902,                 1.6901,             0.00014851,             0.00014851,             0.00014851
                     43,                 1.0156,                0.52566,                0.88006,                0.90194,                0.75319,                0.82192,                0.50309,                 1.3706,                 1.1567,                 1.6838,             0.00013437,             0.00013437,             0.00013437
                     44,                  0.996,                0.51738,                 0.8794,                0.85858,                0.78232,                0.82161,                0.50928,                 1.3319,                 1.1261,                 1.6966,             0.00012024,             0.00012024,             0.00012024
                     45,                0.99912,                0.51391,                0.87946,                0.87504,                0.80918,                0.84123,                 0.5103,                 1.3384,                 1.1712,                  1.647,              0.0001061,              0.0001061,              0.0001061
                     46,                0.99952,                0.50731,                0.87687,                0.89395,                0.77448,                0.81097,                 0.5177,                 1.3403,                 1.1368,                 1.6508,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.98987,                0.50292,                0.87452,                0.85892,                0.80675,                0.83295,                0.51468,                 1.3503,                 1.1532,                 1.6898,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.97239,                0.49836,                0.87161,                0.84301,                0.79214,                0.82262,                 0.5017,                 1.3198,                 1.1128,                 1.6591,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.96287,                0.49588,                0.87159,                0.88692,                0.80857,                0.83907,                0.52301,                 1.3082,                 1.0593,                 1.6709,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.97159,                0.49238,                0.86848,                0.88685,                0.80116,                0.84019,                0.51221,                 1.3033,                 1.0865,                 1.6555,             3.5414e-05,             3.5414e-05,             3.5414e-05
